# Customers by total expenditure
# number of customers = 22625
| ID_17471.0 | £3985.94 |
| ID_17104.0 | £3844.97 |
| ID_17294.0 | £3798.39 |
| ID_15540.0 | £2900.61 |
| ID_15677.0 | £2765.16 |
| ID_17968.0 | £2281.25 |
| ID_18922.0 | £2130.83 |
| ID_17061.0 | £2057.69 |
| ID_15543.0 | £1998.57 |
| ID_15786.0 | £1989.00 |
| ID_17364.0 | £1910.31 |
| ID_16912.0 | £1905.52 |
| ID_17974.0 | £1903.68 |
| ID_1665.0 | £1842.65 |
| ID_17982.0 | £1824.34 |
| ID_18699.0 | £1781.23 |
| ID_16154.0 | £1780.11 |
| ID_17575.0 | £1696.37 |
| ID_17309.0 | £1695.38 |
| ID_17306.0 | £1690.49 |
| ID_17307.0 | £1656.40 |
| ID_12949.0 | £1645.82 |
| ID_9982.0 | £1639.01 |
| ID_16905.0 | £1630.19 |
| ID_17139.0 | £1607.44 |
| ID_10878.0 | £1601.90 |
| ID_15641.0 | £1601.49 |
| ID_12162.0 | £1601.08 |
| ID_15740.0 | £1600.73 |
| ID_15965.0 | £1563.10 |
| ID_17951.0 | £1561.01 |
| ID_20906.0 | £1541.75 |
| ID_17732.0 | £1533.84 |
| ID_17692.0 | £1529.21 |
| ID_17926.0 | £1515.32 |
| ID_17922.0 | £1511.96 |
| ID_17983.0 | £1510.61 |
| ID_15685.0 | £1508.38 |
| ID_17228.0 | £1487.46 |
| ID_15904.0 | £1485.44 |
| ID_17045.0 | £1469.31 |
| ID_10079.0 | £1467.65 |
| ID_18958.0 | £1452.99 |
| ID_16993.0 | £1446.60 |
| ID_17213.0 | £1443.96 |
| ID_18592.0 | £1438.79 |
| ID_1660.0 | £1429.91 |
| ID_18887.0 | £1427.39 |
| ID_15964.0 | £1418.44 |
| ID_1685.0 | £1399.33 |
| ID_17560.0 | £1384.84 |
| ID_15619.0 | £1356.63 |
| ID_18586.0 | £1352.50 |
| ID_3834.0 | £1347.18 |
| ID_15975.0 | £1339.49 |
| ID_18851.0 | £1339.47 |
| ID_17217.0 | £1336.47 |
| ID_16783.0 | £1336.24 |
| ID_17506.0 | £1325.60 |
| ID_1710.0 | £1309.15 |
| ID_16970.0 | £1302.79 |
| ID_15819.0 | £1299.28 |
| ID_17244.0 | £1297.20 |
| ID_17097.0 | £1292.50 |
| ID_10812.0 | £1280.50 |
| ID_6070.0 | £1243.98 |
| ID_17887.0 | £1237.00 |
| ID_17985.0 | £1235.55 |
| ID_12213.0 | £1213.26 |
| ID_15854.0 | £1186.18 |
| ID_3444.0 | £1183.80 |
| ID_16986.0 | £1179.08 |
| ID_16800.0 | £1175.95 |
| ID_2127.0 | £1169.97 |
| ID_8750.0 | £1169.95 |
| ID_15628.0 | £1165.90 |
| ID_15637.0 | £1165.21 |
| ID_15501.0 | £1163.80 |
| ID_17612.0 | £1160.21 |
| ID_21065.0 | £1159.74 |
| ID_2490.0 | £1159.61 |
| ID_17055.0 | £1145.83 |
| ID_17688.0 | £1143.88 |
| ID_15525.0 | £1143.48 |
| ID_17354.0 | £1142.82 |
| ID_11397.0 | £1141.89 |
| ID_15792.0 | £1133.49 |
| ID_15636.0 | £1131.11 |
| ID_17292.0 | £1126.23 |
| ID_10898.0 | £1122.91 |
| ID_17130.0 | £1120.53 |
| ID_15943.0 | £1112.20 |
| ID_14548.0 | £1109.05 |
| ID_15000.0 | £1099.09 |
| ID_13407.0 | £1092.65 |
| ID_16944.0 | £1078.06 |
| ID_16177.0 | £1075.28 |
| ID_17237.0 | £1068.27 |
| ID_17600.0 | £1067.26 |
| ID_17028.0 | £1063.42 |
| ID_19582.0 | £1061.14 |
| ID_18448.0 | £1055.32 |
| ID_17060.0 | £1045.44 |
| ID_17096.0 | £1037.73 |
| ID_1694.0 | £1035.63 |
| ID_1702.0 | £1028.61 |
| ID_17626.0 | £1027.92 |
| ID_17978.0 | £1018.63 |
| ID_16101.0 | £1018.09 |
| ID_20607.0 | £1017.81 |
| ID_11948.0 | £1014.16 |
| ID_17283.0 | £1012.02 |
| ID_17677.0 | £1010.74 |
| ID_15596.0 | £1009.74 |
| ID_17102.0 | £1007.81 |
| ID_15968.0 | £1003.32 |
| ID_15857.0 | £1002.88 |
| ID_17121.0 | £994.92 |
| ID_16517.0 | £986.57 |
| ID_15741.0 | £985.13 |
| ID_15951.0 | £983.13 |
| ID_17317.0 | £979.47 |
| ID_17541.0 | £979.29 |
| ID_2957.0 | £970.61 |
| ID_3457.0 | £969.79 |
| ID_18726.0 | £960.81 |
| ID_15911.0 | £960.71 |
| ID_2186.0 | £955.22 |
| ID_17171.0 | £954.20 |
| ID_17733.0 | £945.42 |
| ID_21297.0 | £945.30 |
| ID_17152.0 | £939.31 |
| ID_16616.0 | £938.83 |
| ID_17289.0 | £938.16 |
| ID_16959.0 | £932.72 |
| ID_10145.0 | £927.88 |
| ID_1862.0 | £922.40 |
| ID_18784.0 | £911.69 |
| ID_15850.0 | £910.42 |
| ID_11042.0 | £895.11 |
| ID_16898.0 | £894.38 |
| ID_16013.0 | £889.55 |
| ID_17904.0 | £889.38 |
| ID_21239.0 | £884.40 |
| ID_15633.0 | £884.24 |
| ID_17878.0 | £883.70 |
| ID_15509.0 | £878.20 |
| ID_16814.0 | £874.89 |
| ID_15892.0 | £871.29 |
| ID_17477.0 | £870.60 |
| ID_17296.0 | £869.00 |
| ID_11545.0 | £868.84 |
| ID_17925.0 | £866.57 |
| ID_13433.0 | £863.11 |
| ID_15545.0 | £862.57 |
| ID_17741.0 | £862.43 |
